prompt,model,model_slug,reference_columns,repeat,total_items,evaluated_items,error_runs,skipped_missing_prediction,skipped_no_reference,tp,fp,fn,precision,recall,micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,argument_order_agnostic_tp,argument_order_agnostic_fp,argument_order_agnostic_fn,argument_order_agnostic_precision,argument_order_agnostic_recall,argument_order_agnostic_micro_f1,exact_best_matches,exact_best_match_rate,no_relation_best_matches
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,285,196,60,0.5925155925155925,0.8260869565217391,0.6900726392251816,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,285,196,60,0.5925155925155925,0.8260869565217391,0.6900726392251816,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,285,196,60,0.5925155925155925,0.8260869565217391,0.6900726392251816,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,285,196,60,0.5925155925155925,0.8260869565217391,0.6900726392251816,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,285,196,60,0.5925155925155925,0.8260869565217391,0.6900726392251816,212,0.585635359116022,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,297,163,52,0.6456521739130435,0.8510028653295129,0.7342398022249691,233,227,110,0.5065217391304347,0.6793002915451894,0.5803237858032378,299,158,51,0.6542669584245077,0.8542857142857143,0.7410161090458488,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,295,163,53,0.6441048034934498,0.8477011494252874,0.7320099255583127,232,226,111,0.5065502183406113,0.6763848396501457,0.5792759051186017,297,158,52,0.6527472527472528,0.8510028653295129,0.7388059701492538,222,0.6132596685082873,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,294,161,54,0.6461538461538462,0.8448275862068966,0.7322540473225405,231,224,112,0.5076923076923077,0.673469387755102,0.5789473684210527,296,156,53,0.6548672566371682,0.8481375358166189,0.7390761548064919,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,297,163,52,0.6456521739130435,0.8510028653295129,0.7342398022249691,233,227,110,0.5065217391304347,0.6793002915451894,0.5803237858032378,299,158,51,0.6542669584245077,0.8542857142857143,0.7410161090458488,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,295,162,53,0.6455142231947484,0.8477011494252874,0.7329192546583851,231,226,112,0.5054704595185996,0.673469387755102,0.5775,297,157,52,0.6541850220264317,0.8510028653295129,0.7397260273972602,222,0.6132596685082873,69
