prompt,model,model_slug,reference_columns,repeat,total_items,evaluated_items,error_runs,skipped_missing_prediction,skipped_no_reference,tp,fp,fn,precision,recall,micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,exact_best_matches,exact_best_match_rate,no_relation_best_matches
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,212,0.585635359116022,66
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,285,201,60,0.5864197530864198,0.8260869565217391,0.6859205776173285,218,268,119,0.448559670781893,0.6468842729970327,0.5297691373025516,212,0.585635359116022,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,297,163,52,0.6456521739130435,0.8510028653295129,0.7342398022249691,233,227,110,0.5065217391304347,0.6793002915451894,0.5803237858032378,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,295,163,53,0.6441048034934498,0.8477011494252874,0.7320099255583127,232,226,111,0.5065502183406113,0.6763848396501457,0.5792759051186017,222,0.6132596685082873,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,294,161,54,0.6461538461538462,0.8448275862068966,0.7322540473225405,231,224,112,0.5076923076923077,0.673469387755102,0.5789473684210527,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,297,163,52,0.6456521739130435,0.8510028653295129,0.7342398022249691,233,227,110,0.5065217391304347,0.6793002915451894,0.5803237858032378,223,0.6160220994475138,69
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,295,162,53,0.6455142231947484,0.8477011494252874,0.7329192546583851,231,226,112,0.5054704595185996,0.673469387755102,0.5775,222,0.6132596685082873,69
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,285,144,61,0.6643356643356644,0.8236994219653179,0.7354838709677419,226,203,105,0.5268065268065268,0.6827794561933535,0.5947368421052631,225,0.6215469613259669,68
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,290,143,57,0.6697459584295612,0.8357348703170029,0.7435897435897436,230,203,102,0.5311778290993071,0.6927710843373494,0.6013071895424836,230,0.6353591160220995,69
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,288,139,58,0.6744730679156908,0.8323699421965318,0.7451487710219923,228,199,103,0.5339578454332553,0.6888217522658611,0.6015831134564644,230,0.6353591160220995,70
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,282,146,60,0.6588785046728972,0.8245614035087719,0.7324675324675325,228,200,105,0.5327102803738317,0.6846846846846847,0.5992115637319316,228,0.6298342541436464,70
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,289,140,56,0.6736596736596736,0.8376811594202899,0.7467700258397932,231,198,102,0.5384615384615384,0.6936936936936937,0.6062992125984252,231,0.638121546961326,70
