prompt,model,model_slug,reference_columns,repeat,total_items,evaluated_items,error_runs,skipped_missing_prediction,skipped_no_reference,tp,fp,fn,precision,recall,micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,exact_best_matches,exact_best_match_rate,no_relation_best_matches
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699,207,0.5718232044198895,57
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699,207,0.5718232044198895,57
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699,207,0.5718232044198895,57
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699,207,0.5718232044198895,57
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699,207,0.5718232044198895,57
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,292,131,54,0.6903073286052009,0.8439306358381503,0.7594278283485045,235,198,106,0.5427251732101617,0.6891495601173021,0.6072351421188631,232,0.6408839779005525,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,291,129,54,0.6928571428571428,0.8434782608695652,0.7607843137254902,234,196,107,0.5441860465116279,0.6862170087976539,0.6070038910505836,232,0.6408839779005525,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,289,131,56,0.6880952380952381,0.8376811594202899,0.7555555555555555,234,195,107,0.5454545454545454,0.6862170087976539,0.6077922077922078,231,0.638121546961326,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,292,130,54,0.6919431279620853,0.8439306358381503,0.7604166666666666,234,198,107,0.5416666666666666,0.6862170087976539,0.6054333764553687,232,0.6408839779005525,66
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,291,130,54,0.6912114014251781,0.8434782608695652,0.7597911227154047,233,197,108,0.541860465116279,0.6832844574780058,0.6044098573281452,231,0.638121546961326,66
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,284,120,63,0.7029702970297029,0.8184438040345822,0.7563249001331558,223,181,108,0.551980198019802,0.6737160120845922,0.6068027210884354,234,0.6464088397790055,62
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,289,119,59,0.7083333333333334,0.8304597701149425,0.7645502645502645,229,179,103,0.5612745098039216,0.6897590361445783,0.6189189189189189,237,0.6546961325966851,62
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,287,116,60,0.7121588089330024,0.8270893371757925,0.7653333333333333,226,177,105,0.5607940446650124,0.6827794561933535,0.6158038147138964,237,0.6546961325966851,63
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,283,121,62,0.7004950495049505,0.8202898550724638,0.7556742323097463,226,178,107,0.5594059405940595,0.6786786786786787,0.6132971506105834,236,0.6519337016574586,63
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,289,117,58,0.7118226600985221,0.8328530259365994,0.7675962815405046,230,176,103,0.5665024630541872,0.6906906906906907,0.6224627875507442,239,0.6602209944751382,64
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,296,156,66,0.6548672566371682,0.8176795580110497,0.7272727272727273,235,217,112,0.5199115044247787,0.6772334293948127,0.5882352941176471,218,0.6022099447513812,49
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,298,153,63,0.6607538802660754,0.8254847645429363,0.7339901477832512,237,214,109,0.5254988913525499,0.684971098265896,0.5947302383939774,220,0.6077348066298343,49
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,300,153,62,0.6622516556291391,0.8287292817679558,0.7361963190184049,235,218,110,0.5187637969094923,0.6811594202898551,0.5889724310776943,221,0.6104972375690608,49
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,299,156,62,0.6571428571428571,0.8282548476454293,0.7328431372549019,235,220,111,0.5164835164835165,0.6791907514450867,0.5867665418227216,220,0.6077348066298343,49
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,301,150,62,0.6674057649667405,0.8292011019283747,0.7395577395577395,240,211,108,0.532150776053215,0.6896551724137931,0.6007509386733417,223,0.6160220994475138,49
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,354,8,8,0,176,635,153,0.21701602959309493,0.5349544072948328,0.3087719298245614,104,707,210,0.1282367447595561,0.33121019108280253,0.18488888888888888,63,0.17796610169491525,15
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,355,7,7,0,178,627,151,0.22111801242236026,0.541033434650456,0.31393298059964725,107,698,209,0.13291925465838508,0.33860759493670883,0.19090098126672614,66,0.18591549295774648,15
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,355,7,7,0,176,632,152,0.21782178217821782,0.5365853658536586,0.30985915492957744,105,703,209,0.12995049504950495,0.3343949044585987,0.18716577540106952,64,0.18028169014084508,15
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,355,7,7,0,177,635,153,0.21798029556650247,0.5363636363636364,0.30998248686514884,104,708,210,0.12807881773399016,0.33121019108280253,0.1847246891651865,63,0.17746478873239438,15
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,356,6,6,0,180,630,152,0.2222222222222222,0.5421686746987951,0.31523642732049034,106,704,210,0.1308641975308642,0.33544303797468356,0.1882770870337478,64,0.1797752808988764,15
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,276,125,71,0.6882793017456359,0.7953890489913544,0.7379679144385026,218,183,115,0.543640897755611,0.6546546546546547,0.5940054495912807,242,0.6685082872928176,79
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,276,126,71,0.6865671641791045,0.7953890489913544,0.7369826435246996,216,186,117,0.5373134328358209,0.6486486486486487,0.5877551020408164,235,0.649171270718232,77
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,276,121,69,0.6952141057934509,0.8,0.7439353099730458,217,180,115,0.5465994962216625,0.6536144578313253,0.5953360768175583,241,0.6657458563535912,79
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,280,129,66,0.684596577017115,0.8092485549132948,0.7417218543046358,216,193,116,0.5281173594132029,0.6506024096385542,0.582995951417004,242,0.6685082872928176,79
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,279,128,66,0.6855036855036855,0.808695652173913,0.7420212765957447,214,193,115,0.5257985257985258,0.6504559270516718,0.5815217391304348,237,0.6546961325966851,80
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,242,242,102,0.5,0.7034883720930233,0.5845410628019324,185,299,150,0.3822314049586777,0.5522388059701493,0.4517704517704518,161,0.4447513812154696,47
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,255,236,96,0.5193482688391039,0.7264957264957265,0.6057007125890737,194,297,149,0.395112016293279,0.565597667638484,0.46522781774580335,171,0.4723756906077348,46
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,241,233,105,0.5084388185654009,0.6965317919075145,0.5878048780487805,188,286,149,0.39662447257383965,0.5578635014836796,0.4636251541307028,166,0.4585635359116022,49
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,239,234,104,0.5052854122621564,0.6967930029154519,0.5857843137254902,186,287,148,0.39323467230443976,0.5568862275449101,0.46096654275092935,166,0.4585635359116022,46
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,250,241,94,0.5091649694501018,0.7267441860465116,0.5988023952095808,194,297,139,0.395112016293279,0.5825825825825826,0.470873786407767,170,0.4696132596685083,46
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,361,1,1,0,209,142,118,0.5954415954415955,0.6391437308868502,0.616519174041298,167,184,154,0.4757834757834758,0.5202492211838006,0.49702380952380953,198,0.5484764542936288,71
