model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
anthropic/claude-haiku-4.5,1,baseline,278,170,62,362,247,340,0.8176470588235294,0.6205357142857143,0.7055837563451777
anthropic/claude-haiku-4.5,1,additive_verbs,280,228,60,362,247,340,0.8235294117647058,0.5511811023622047,0.660377358490566
anthropic/claude-haiku-4.5,1,all_verbs,265,183,75,362,247,340,0.7794117647058824,0.5915178571428571,0.6725888324873096
anthropic/claude-haiku-4.5,1,context_pos,271,177,69,362,247,340,0.7970588235294118,0.6049107142857143,0.6878172588832487
anthropic/claude-haiku-4.5,1,additive_pos,281,202,59,362,247,340,0.8264705882352941,0.5817805383022774,0.6828675577156743
anthropic/claude-haiku-4.5,2,baseline,278,170,62,362,247,340,0.8176470588235294,0.6205357142857143,0.7055837563451777
anthropic/claude-haiku-4.5,2,additive_verbs,280,228,60,362,247,340,0.8235294117647058,0.5511811023622047,0.660377358490566
anthropic/claude-haiku-4.5,2,all_verbs,265,183,75,362,247,340,0.7794117647058824,0.5915178571428571,0.6725888324873096
anthropic/claude-haiku-4.5,2,context_pos,271,177,69,362,247,340,0.7970588235294118,0.6049107142857143,0.6878172588832487
anthropic/claude-haiku-4.5,2,additive_pos,281,202,59,362,247,340,0.8264705882352941,0.5817805383022774,0.6828675577156743
anthropic/claude-haiku-4.5,3,baseline,278,170,62,362,247,340,0.8176470588235294,0.6205357142857143,0.7055837563451777
anthropic/claude-haiku-4.5,3,additive_verbs,280,228,60,362,247,340,0.8235294117647058,0.5511811023622047,0.660377358490566
anthropic/claude-haiku-4.5,3,all_verbs,265,183,75,362,247,340,0.7794117647058824,0.5915178571428571,0.6725888324873096
anthropic/claude-haiku-4.5,3,context_pos,271,177,69,362,247,340,0.7970588235294118,0.6049107142857143,0.6878172588832487
anthropic/claude-haiku-4.5,3,additive_pos,281,202,59,362,247,340,0.8264705882352941,0.5817805383022774,0.6828675577156743
anthropic/claude-haiku-4.5,4,baseline,278,170,62,362,247,340,0.8176470588235294,0.6205357142857143,0.7055837563451777
anthropic/claude-haiku-4.5,4,additive_verbs,280,228,60,362,247,340,0.8235294117647058,0.5511811023622047,0.660377358490566
anthropic/claude-haiku-4.5,4,all_verbs,265,183,75,362,247,340,0.7794117647058824,0.5915178571428571,0.6725888324873096
anthropic/claude-haiku-4.5,4,context_pos,271,177,69,362,247,340,0.7970588235294118,0.6049107142857143,0.6878172588832487
anthropic/claude-haiku-4.5,4,additive_pos,281,202,59,362,247,340,0.8264705882352941,0.5817805383022774,0.6828675577156743
anthropic/claude-haiku-4.5,5,baseline,278,170,62,362,247,340,0.8176470588235294,0.6205357142857143,0.7055837563451777
anthropic/claude-haiku-4.5,5,additive_verbs,280,228,60,362,247,340,0.8235294117647058,0.5511811023622047,0.660377358490566
anthropic/claude-haiku-4.5,5,all_verbs,265,183,75,362,247,340,0.7794117647058824,0.5915178571428571,0.6725888324873096
anthropic/claude-haiku-4.5,5,context_pos,271,177,69,362,247,340,0.7970588235294118,0.6049107142857143,0.6878172588832487
anthropic/claude-haiku-4.5,5,additive_pos,281,202,59,362,247,340,0.8264705882352941,0.5817805383022774,0.6828675577156743
anthropic/claude-sonnet-4.5,1,baseline,292,131,54,362,250,346,0.8439306358381503,0.6903073286052009,0.7594278283485045
anthropic/claude-sonnet-4.5,1,additive_verbs,292,169,54,362,250,346,0.8439306358381503,0.6334056399132321,0.7236679058240396
anthropic/claude-sonnet-4.5,1,all_verbs,273,150,73,362,250,346,0.7890173410404624,0.6453900709219859,0.7100130039011704
anthropic/claude-sonnet-4.5,1,context_pos,281,142,65,362,250,346,0.8121387283236994,0.6643026004728132,0.7308192457737321
