model,repeat,arm,scoring,micro_f1,exact_match,fixed_reference_recall,fixed_tp,fixed_fp,fixed_fn,fixed_evaluated
anthropic/claude-haiku-4.5,1,baseline,unique_position,0.5549872122762148,0.5359116022099447,0.5852941176470589,199,249,141,362
anthropic/claude-haiku-4.5,1,baseline,set,0.7055837563451777,0.5718232044198895,0.8176470588235294,278,170,62,362
anthropic/claude-haiku-4.5,1,additive_verbs,unique_position,0.5154394299287411,0.5165745856353591,0.5852941176470589,199,309,141,362
anthropic/claude-haiku-4.5,1,additive_verbs,set,0.6635294117647059,0.5497237569060773,0.8235294117647058,280,228,60,362
anthropic/claude-haiku-4.5,1,all_verbs,unique_position,0.5343511450381679,0.5193370165745856,0.5617647058823529,191,257,149,362
anthropic/claude-haiku-4.5,1,all_verbs,set,0.6776232616940582,0.5552486187845304,0.7794117647058824,265,183,75,362
anthropic/claude-haiku-4.5,1,context_pos,unique_position,0.544529262086514,0.5276243093922652,0.5705882352941176,194,254,146,362
anthropic/claude-haiku-4.5,1,context_pos,set,0.6936708860759494,0.5662983425414365,0.7970588235294118,271,177,69,362
anthropic/claude-haiku-4.5,1,additive_pos,unique_position,0.5312117503059975,0.5220994475138122,0.5852941176470589,199,284,141,362
anthropic/claude-haiku-4.5,1,additive_pos,set,0.686060606060606,0.5580110497237569,0.8264705882352941,281,202,59,362
anthropic/claude-haiku-4.5,2,baseline,unique_position,0.5549872122762148,0.5359116022099447,0.5852941176470589,199,249,141,362
anthropic/claude-haiku-4.5,2,baseline,set,0.7055837563451777,0.5718232044198895,0.8176470588235294,278,170,62,362
anthropic/claude-haiku-4.5,2,additive_verbs,unique_position,0.5154394299287411,0.5165745856353591,0.5852941176470589,199,309,141,362
anthropic/claude-haiku-4.5,2,additive_verbs,set,0.6635294117647059,0.5497237569060773,0.8235294117647058,280,228,60,362
anthropic/claude-haiku-4.5,2,all_verbs,unique_position,0.5343511450381679,0.5193370165745856,0.5617647058823529,191,257,149,362
anthropic/claude-haiku-4.5,2,all_verbs,set,0.6776232616940582,0.5552486187845304,0.7794117647058824,265,183,75,362
anthropic/claude-haiku-4.5,2,context_pos,unique_position,0.544529262086514,0.5276243093922652,0.5705882352941176,194,254,146,362
anthropic/claude-haiku-4.5,2,context_pos,set,0.6936708860759494,0.5662983425414365,0.7970588235294118,271,177,69,362
anthropic/claude-haiku-4.5,2,additive_pos,unique_position,0.5312117503059975,0.5220994475138122,0.5852941176470589,199,284,141,362
anthropic/claude-haiku-4.5,2,additive_pos,set,0.686060606060606,0.5580110497237569,0.8264705882352941,281,202,59,362
anthropic/claude-haiku-4.5,3,baseline,unique_position,0.5549872122762148,0.5359116022099447,0.5852941176470589,199,249,141,362
anthropic/claude-haiku-4.5,3,baseline,set,0.7055837563451777,0.5718232044198895,0.8176470588235294,278,170,62,362
anthropic/claude-haiku-4.5,3,additive_verbs,unique_position,0.5154394299287411,0.5165745856353591,0.5852941176470589,199,309,141,362
anthropic/claude-haiku-4.5,3,additive_verbs,set,0.6635294117647059,0.5497237569060773,0.8235294117647058,280,228,60,362
anthropic/claude-haiku-4.5,3,all_verbs,unique_position,0.5343511450381679,0.5193370165745856,0.5617647058823529,191,257,149,362
anthropic/claude-haiku-4.5,3,all_verbs,set,0.6776232616940582,0.5552486187845304,0.7794117647058824,265,183,75,362
anthropic/claude-haiku-4.5,3,context_pos,unique_position,0.544529262086514,0.5276243093922652,0.5705882352941176,194,254,146,362
anthropic/claude-haiku-4.5,3,context_pos,set,0.6936708860759494,0.5662983425414365,0.7970588235294118,271,177,69,362
anthropic/claude-haiku-4.5,3,additive_pos,unique_position,0.5312117503059975,0.5220994475138122,0.5852941176470589,199,284,141,362
anthropic/claude-haiku-4.5,3,additive_pos,set,0.686060606060606,0.5580110497237569,0.8264705882352941,281,202,59,362
anthropic/claude-haiku-4.5,4,baseline,unique_position,0.5549872122762148,0.5359116022099447,0.5852941176470589,199,249,141,362
anthropic/claude-haiku-4.5,4,baseline,set,0.7055837563451777,0.5718232044198895,0.8176470588235294,278,170,62,362
